element_tran,node1,node2
O=C(OC=C[*:3])[*:3] --->>>--- CN(C=C[*:3])[*:3],O=C(OC=C[*:3])[*:3],CN(C=C[*:3])[*:3]
O=C(OC=C[*:1])[*:1] --->>>--- CC1(C)C(=CC=C[*:1])N([*:1])c2ccccc21,O=C(OC=C[*:1])[*:1],CC1(C)C(=CC=C[*:1])N([*:1])c2ccccc21
O=C(OC=C[*:2])[*:2] --->>>--- CC1(C)C(=CC=C[*:2])N([*:2])c2ccccc21,O=C(OC=C[*:2])[*:2],CC1(C)C(=CC=C[*:2])N([*:2])c2ccccc21
O=C(OC=C[*:3])[*:3] --->>>--- CC1(C)C(=CC=C[*:3])N([*:3])c2ccccc21,O=C(OC=C[*:3])[*:3],CC1(C)C(=CC=C[*:3])N([*:3])c2ccccc21
O=C(OC=C[*:1])[*:1] --->>>--- C(=C[*:1])C=C1Sc2ccccc2N1C[*:1],O=C(OC=C[*:1])[*:1],C(=C[*:1])C=C1Sc2ccccc2N1C[*:1]
O=C(OC=C[*:2])[*:2] --->>>--- C(=C[*:2])C=C1Sc2ccccc2N1C[*:2],O=C(OC=C[*:2])[*:2],C(=C[*:2])C=C1Sc2ccccc2N1C[*:2]
O=C(OC=C[*:3])[*:3] --->>>--- C(=C[*:3])C=C1Sc2ccccc2N1C[*:3],O=C(OC=C[*:3])[*:3],C(=C[*:3])C=C1Sc2ccccc2N1C[*:3]
O=C(OC=C[*:1])[*:1] --->>>--- C(=C[*:1])C=C1C=Cc2ccccc2N1[*:1],O=C(OC=C[*:1])[*:1],C(=C[*:1])C=C1C=Cc2ccccc2N1[*:1]
O=C(OC=C[*:2])[*:2] --->>>--- C(=C[*:2])C=C1C=Cc2ccccc2N1[*:2],O=C(OC=C[*:2])[*:2],C(=C[*:2])C=C1C=Cc2ccccc2N1[*:2]
O=C(OC=C[*:3])[*:3] --->>>--- C(=C[*:3])C=C1C=Cc2ccccc2N1[*:3],O=C(OC=C[*:3])[*:3],C(=C[*:3])C=C1C=Cc2ccccc2N1[*:3]
O=C(O[*:1])[*:1] --->>>--- CN1C(=C[*:1])C(C)([*:1])c2ccccc21,O=C(O[*:1])[*:1],CN1C(=C[*:1])C(C)([*:1])c2ccccc21
O=C(O[*:2])[*:2] --->>>--- CN1C(=C[*:2])C(C)([*:2])c2ccccc21,O=C(O[*:2])[*:2],CN1C(=C[*:2])C(C)([*:2])c2ccccc21
O=C(O[*:3])[*:3] --->>>--- CN1C(=C[*:3])C(C)([*:3])c2ccccc21,O=C(O[*:3])[*:3],CN1C(=C[*:3])C(C)([*:3])c2ccccc21
O=C(O[*:1])[*:1] --->>>--- CN([*:1])[*:1],O=C(O[*:1])[*:1],CN([*:1])[*:1]
O=C(O[*:2])[*:2] --->>>--- CN([*:2])[*:2],O=C(O[*:2])[*:2],CN([*:2])[*:2]
O=C(O[*:3])[*:3] --->>>--- CN([*:3])[*:3],O=C(O[*:3])[*:3],CN([*:3])[*:3]
O=C(O[*:1])[*:1] --->>>--- CC1(C)C(=C[*:1])N([*:1])c2ccccc21,O=C(O[*:1])[*:1],CC1(C)C(=C[*:1])N([*:1])c2ccccc21
O=C(O[*:2])[*:2] --->>>--- CC1(C)C(=C[*:2])N([*:2])c2ccccc21,O=C(O[*:2])[*:2],CC1(C)C(=C[*:2])N([*:2])c2ccccc21
O=C(O[*:3])[*:3] --->>>--- CC1(C)C(=C[*:3])N([*:3])c2ccccc21,O=C(O[*:3])[*:3],CC1(C)C(=C[*:3])N([*:3])c2ccccc21
O=C(O[*:1])[*:1] --->>>--- C1=Cc2ccccc2N([*:1])C1=C[*:1],O=C(O[*:1])[*:1],C1=Cc2ccccc2N([*:1])C1=C[*:1]
O=C(O[*:2])[*:2] --->>>--- C1=Cc2ccccc2N([*:2])C1=C[*:2],O=C(O[*:2])[*:2],C1=Cc2ccccc2N([*:2])C1=C[*:2]
O=C(O[*:3])[*:3] --->>>--- C1=Cc2ccccc2N([*:3])C1=C[*:3],O=C(O[*:3])[*:3],C1=Cc2ccccc2N([*:3])C1=C[*:3]
O=C(O[*:1])[*:1] --->>>--- C(=C1Sc2ccccc2N1C[*:1])[*:1],O=C(O[*:1])[*:1],C(=C1Sc2ccccc2N1C[*:1])[*:1]
O=C(O[*:2])[*:2] --->>>--- C(=C1Sc2ccccc2N1C[*:2])[*:2],O=C(O[*:2])[*:2],C(=C1Sc2ccccc2N1C[*:2])[*:2]
O=C(O[*:3])[*:3] --->>>--- C(=C1Sc2ccccc2N1C[*:3])[*:3],O=C(O[*:3])[*:3],C(=C1Sc2ccccc2N1C[*:3])[*:3]
O=C(O)c1ccc([*:1])s1 --->>>--- O=C(O)c1ccc([*:1])cc1,O=C(O)c1ccc([*:1])s1,O=C(O)c1ccc([*:1])cc1
O=C(O)c1ccc([*:2])s1 --->>>--- O=C(O)c1ccc([*:2])cc1,O=C(O)c1ccc([*:2])s1,O=C(O)c1ccc([*:2])cc1
O=C(O)c1ccc([*:3])s1 --->>>--- O=C(O)c1ccc([*:3])cc1,O=C(O)c1ccc([*:3])s1,O=C(O)c1ccc([*:3])cc1
O=C(O)C=C[*:1] --->>>--- O=C(O)C=CC=C[*:1],O=C(O)C=C[*:1],O=C(O)C=CC=C[*:1]
