smiles,predicted_prob,predicted_label,SA_Score
C#Cc1ccc(c2ccc3c(c2)[N+](CC)=C(/C=C/C=C/C=C2\N(CC)c4ccccc4C2(C)C)C3(C)C)cc1,0.8571506629899562,1,3.28
CC[N+]1=C(/C=C/C=C/C=C2\N(C(C)C=CC=C3C=Cc4ccccc4N3C)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,0.8568081165873213,1,4.23
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3cc(c4ccc(OC)cc4)ccc3C2(C)C)C(C)(C)c2ccccc21,0.8565887171248305,1,3.09
CCN1/C(=C\C(=C\C=C\C2=[N+](CC)c3ccccc3C2(C)C)C=CC=C2N(C)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,0.8556066427884498,1,3.66
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)CC=C2C=Cc3ccccc3N2C)C(C)(C)c2ccccc21,0.8538339135511351,1,4.04
CCN1C(=CCCN2/C(=C\C=C\C=C\C3=[N+](CC)c4ccccc4C3(C)C)C(C)(C)c3ccccc32)Sc2ccccc21,0.8533918149009497,1,3.48
CCN1C(=CC=CC=CC2=[N+](CC)c3ccccc3C2(C)C=CC=CC=C2N(CC)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,0.8532615736866842,1,4.19
CCN1/C(=C\C=C\C=C(\C2=[N+](CC)c3ccccc3C2(C)C)C=CC=C2C=C(c3ccccc3)Oc3cc(N(C)C)ccc32)C(C)(C)c2ccccc21,0.8509128055030366,1,3.87
CCN1C(=CC=CC=CC[N+]2=C(C=CC=CC=C3N(CC)c4ccccc4C3(C)C)C(C)(C=CC=CC=C3N(CC)c4ccccc4C3(C)C)c3ccccc32)C(C)(C)c2ccccc21,0.8502841443237719,1,4.67
CCN1C(=CC=CC=CC2=[N+](CC)c3ccccc3C2(C)C)C(C=CC=CC2=[N+](CC)c3ccccc3C2(C)C)(C=CC=CC2=[N+](CC)c3ccccc3C2(C)C)c2ccccc21,0.8479966638102144,1,4.33
CCN1/C(=C\C=C\C=C\C2=[N+](CCC=Cc3ccc(OC)cc3OC)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,0.8453217460232006,1,3.30
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3c(cccc3C=Cc3ccc(N4c5ccccc5CCc5ccccc54)cc3)C2(C)C)C(C)(C)c2ccccc21,0.844752943746806,1,3.55
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3cc(c4ccc(N(C)C)cc4)ccc3C2(C)C)C(C)(C)c2ccccc21,0.844231586191737,1,3.19
CCN1/C(=C\C=C\C=C(\C2=[N+](CC)c3ccccc3C2(C)C)C=CC=C2C=Cc3ccccc3N2C)C(C)(C)c2ccccc21,0.8441899226380722,1,3.79
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)Cc2ccc(-c3ccc(N(C)C)cc3)s2)C(C)(C)c2ccccc21,0.8424105661917647,1,3.82
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)C)C(C)(Cc2ccc(N)cc2)c2ccccc21,0.841870602277878,1,3.60
CCN1/C(=C\C(=C\C=C\C2=[N+](CC)c3ccccc3C2(C)C)C=CC=C2C=Cc3ccccc3N2C)C(C)(C)c2ccccc21,0.841836619694683,1,3.78
C#Cc1ccc(c2cccc3c2C(C)(C)C(/C=C/C=C/C=C2\N(CC)c4ccccc4C2(C)C)=[N+]3CC)cc1,0.8411172055455318,1,3.31
CCN1/C(=C\C=C\C=C(\C2=[N+](CC)c3ccccc3C2(C)C)C=CC=C2N(C)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,0.8400426272659415,1,3.67
CCN1C(=CC=CC=CC2=[N+](CC)c3ccccc3C2(C)C)C(C)(C=CC=CC2=[N+](CC)c3ccccc3C2(C)C)c2ccccc21,0.8397046367905941,1,4.27
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)C)C(C)(CC=CN(C)C)c2ccccc21,0.8384074269796336,1,3.91
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccc(C=CC=CC=C4C=C(c5ccccc5)Oc5cc(N(C)C)ccc54)cc3C2(C)C)C(C)(C)c2ccccc21,0.8383672783885228,1,3.86
C#Cc1ccc(C(C)N2/C(=C\C=C\C=C\C3=[N+](CC)c4ccccc4C3(C)C)C(C)(C)c3ccccc32)cc1,0.8380186897421859,1,3.75
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3cc(c4ccc([N+](=O)[O-])cc4)ccc3C2(C)C)C(C)(C)c2ccccc21,0.8363278947199813,1,3.19
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3cc(C=CC=CC=C4C=C(c5ccccc5)Oc5cc(N(C)C)ccc54)ccc3C2(C)C)C(C)(C)c2ccccc21,0.835404713432145,1,3.89
CCN1/C(=C\C=C\C=C\C2=[N+](CCC=Cc3ccc(N4c5ccccc5CCc5ccccc54)cc3)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,0.8351789396872152,1,3.50
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3cccc(c4ccc(N(C)C)cc4)c3C2(C)C)C(C)(C)c2ccccc21,0.8335962694890948,1,3.22
